eating_place,busy_metric,time_day,day_week
Law Cafe,123.44165190330453,12.4,M
Bytes,0.9103593527097167,12.4,M
Hillman Food,7.179079764265614,12.4,T
DUC,15.968975660114502,12.4,T
Subway,17.8010970796917,12.4,T
Parkside,7.324304451971779,12.4,T
Whispers,19.252201414332294,12.4,T
Stanleys,12.564966082286363,12.4,T
Law Cafe,13.637549823975911,12.4,T
Bytes,3.382837030459574e-14,12.4,T
Hillman Food,72.9952657041299,12.4,W
DUC,163.48059660828307,12.4,W
Subway,187.46791652289687,12.4,W
Parkside,74.00618090653684,12.4,W
Whispers,222.9126950230178,12.4,W
Stanleys,130.7937148253262,12.4,W
Law Cafe,137.07922162688615,12.4,W
Bytes,0.4008949512134165,12.4,W
Hillman Food,2.75968559136332e-07,12.4,H
DUC,1.029313959250942e-09,12.4,H
Subway,4.676269058691513e-09,12.4,H
Parkside,2.069711936368764e-09,12.4,H
Whispers,2.4265084270924275e-08,12.4,H
Stanleys,8.437566881768804e-09,12.4,H
Law Cafe,2.3091115471911864e-12,12.4,H
Bytes,3.5485543113625735e-14,12.4,H
Hillman Food,67.52424125801241,12.4,F
DUC,148.01399843574686,12.4,F
Subway,175.276649027842,12.4,F
Parkside,70.39158120697824,12.4,F
Whispers,224.7703194910532,12.4,F
Stanleys,125.00064348264506,12.4,F
Law Cafe,123.76907699869814,12.4,F
Bytes,0.9372126393740036,12.4,F
Hillman Food,57.76987962291193,12.5,M
DUC,126.43847985877284,12.5,M
Subway,149.65444333004353,12.5,M
Parkside,60.21996666716807,12.5,M
Whispers,191.73703556841497,12.5,M
Stanleys,106.68896122697501,12.5,M
Law Cafe,105.80713020283247,12.5,M
Bytes,0.8045718456747806,12.5,M
Hillman Food,6.153496945974198,12.5,T
DUC,13.68769342297199,12.5,T
Subway,15.258083211253943,12.5,T
Parkside,6.277975244573472,12.5,T
Whispers,16.50188692703127,12.5,T
Stanleys,10.769970927797594,12.5,T
Law Cafe,11.689328420550808,12.5,T
Bytes,2.93542846472834e-14,12.5,T
Hillman Food,62.56739167398193,12.5,W
DUC,140.1262282467757,12.5,W
Subway,160.68679493593868,12.5,W
Parkside,63.43392308235078,12.5,W
Whispers,191.06813394179977,12.5,W
Stanleys,112.1092658486511,12.5,W
Law Cafe,117.49647653267711,12.5,W
Bytes,0.34362750134856546,12.5,W
Hillman Food,2.3913332242616703e-07,12.5,H
DUC,8.950152068827149e-10,12.5,H
Subway,4.07668207523307e-09,12.5,H
Parkside,1.7940459241914332e-09,12.5,H
Whispers,2.1151401031438287e-08,12.5,H
Stanleys,7.326550947366205e-09,12.5,H
Law Cafe,2.000519968026625e-12,12.5,H
Bytes,3.0689549385510555e-14,12.5,H
Hillman Food,57.95157176158553,12.5,F
DUC,126.87809843160423,12.5,F
Subway,150.4720431095473,12.5,F
Parkside,60.499358483211694,12.5,F
Whispers,193.58439139283158,12.5,F
Stanleys,107.43320721162239,12.5,F
Law Cafe,106.09362214692878,12.5,F
Bytes,0.8275889485298831,12.5,F
Hillman Food,79.2835462275436,13.0,M
DUC,172.48265192943603,13.0,M
Subway,204.2368727284304,13.0,M
Parkside,83.35927195805854,13.0,M
Whispers,261.04575624386126,13.0,M
Stanleys,147.05845151592783,13.0,M
Law Cafe,144.7448020572415,13.0,M
Bytes,1.1462480800476025,13.0,M
Hillman Food,10.66319257670196,13.0,T
DUC,25.74880035256875,13.0,T
Subway,39.89747107976086,13.0,T
Parkside,10.974946825030067,13.0,T
Whispers,83.80188441599023,13.0,T
Stanleys,26.75255100615461,13.0,T
Law Cafe,17.088245488947116,13.0,T
Bytes,0.8465534798182818,13.0,T
Hillman Food,19.76427043865954,13.0,W
DUC,41.9934726118758,13.0,W
Subway,55.25514881079538,13.0,W
Parkside,21.429274144970112,13.0,W
Whispers,89.75481027372632,13.0,W
Stanleys,40.10376300674307,13.0,W
Law Cafe,33.30655768600157,13.0,W
Bytes,0.7998960523851497,13.0,W
Hillman Food,14.083095553898334,13.0,H
DUC,33.69547945478853,13.0,H
Subway,48.275819794922995,13.0,H
Parkside,14.275453510429603,13.0,H
Whispers,91.43810656717531,13.0,H
Stanleys,32.42573108176296,13.0,H
Law Cafe,23.874619353200348,13.0,H
Bytes,0.7943910361352603,13.0,H
Hillman Food,5.391449373734562,13.0,F
DUC,10.382146902177714,13.0,F
Subway,20.33662755222387,13.0,F
Parkside,6.6163627688808475,13.0,F
Whispers,52.363302168273655,13.0,F
Stanleys,15.05544148071902,13.0,F
Law Cafe,6.445159964951428,13.0,F
Bytes,0.7923071787780629,13.0,F
Hillman Food,72.04350048785999,13.1,M
DUC,156.80241084485158,13.1,M
Subway,185.568785490384,13.1,M
Parkside,75.70782744139703,13.1,M
Whispers,236.9034842915552,13.1,M
Stanleys,133.56133430784587,13.1,M
Law Cafe,131.58618368840118,13.1,M
