1_value,2_value,3_value,4_value,5_value,EV,max_suit,win_rate
0,1,5,6,12,0.33329,2,0.46556
0,2,5,6,7,0.315508,2,0.26484
1,2,3,6,11,0.338076,2,0.34384
0,0,1,5,6,0.414889,2,0.21392
0,3,4,7,9,0.316214,2,0.29996
0,1,7,10,10,0.571778,2,0.82916
0,3,8,9,12,0.382599,3,0.53336
0,4,5,7,8,0.390643,2,0.40284
0,0,1,1,1,0.845172,2,0.96556
0,2,2,6,9,0.476074,3,0.35624
0,1,5,10,12,0.341122,2,0.5238
0,0,2,8,10,0.424532,2,0.40972
0,3,5,6,12,0.378801,3,0.5072
0,1,7,9,10,0.355163,3,0.42356
1,5,9,9,12,0.561815,2,0.83596
0,5,5,6,10,0.504463,2,0.38708
0,3,4,6,9,0.324529,2,0.30232
0,0,4,6,9,0.423572,2,0.33164
0,0,6,7,8,0.450216,2,0.32144
0,0,4,7,9,0.446991,3,0.359
0,4,7,10,10,0.571824,2,0.79164
0,0,4,5,6,0.442733,2,0.25772
0,0,2,4,11,0.428755,2,0.4516
1,3,3,5,12,0.487821,2,0.51668
0,0,2,3,11,0.435204,2,0.43416
0,5,10,10,12,0.574206,2,0.87708
1,4,8,9,9,0.5584,2,0.76896
0,1,2,4,7,0.36625,2,0.30504
0,1,3,7,10,0.31492,2,0.32516
1,3,10,12,12,0.600888,2,0.83044
0,2,3,7,11,0.32837,2,0.35096
0,0,0,2,7,0.736679,2,0.24608
1,2,4,6,9,0.31434,2,0.26588
0,3,5,8,12,0.342467,2,0.484
0,0,5,8,12,0.430483,2,0.56432
0,1,2,3,7,0.440112,2,0.38668
0,0,4,7,10,0.447847,3,0.42064
0,4,6,7,8,0.402575,2,0.421
0,0,1,1,9,0.609299,2,0.60088
1,1,5,11,12,0.451524,2,0.58864
1,4,4,5,8,0.498569,2,0.30664
0,4,9,10,10,0.585927,3,0.83356
0,1,2,5,9,0.325374,3,0.30592
1,1,2,2,7,0.628996,3,0.63652
0,1,4,8,10,0.311016,2,0.35496
0,0,5,6,7,0.446546,2,0.2902
0,5,6,10,10,0.585816,3,0.8062
0,1,2,5,8,0.319506,3,0.26876
0,4,9,11,12,0.382499,3,0.56844
0,1,2,3,9,0.446723,2,0.42332
0,0,9,10,10,0.684573,2,0.84416
0,5,7,7,11,0.534009,2,0.78548
0,0,3,4,12,0.431174,2,0.52464
0,6,7,10,11,0.343941,2,0.44312
0,1,2,5,6,0.28746,2,0.19316
0,1,2,4,8,0.36908,2,0.34108
0,3,6,7,10,0.351684,3,0.3984
0,1,7,10,10,0.571778,2,0.82916
0,3,4,7,12,0.346783,2,0.4514
0,0,0,3,11,0.736878,2,0.50908
0,6,7,9,10,0.412823,2,0.49184
0,0,1,7,11,0.593518,4,0.6382
0,1,1,5,8,0.435379,2,0.28316
0,3,10,11,12,0.366247,2,0.51648
0,4,6,9,11,0.35138,3,0.44164
0,1,2,7,11,0.323159,2,0.36372
0,3,3,5,8,0.489877,3,0.30848
0,1,2,8,9,0.305978,2,0.29316
0,0,4,4,5,0.632143,2,0.64528
0,0,4,5,6,0.442733,2,0.25308
0,1,5,6,10,0.324047,3,0.3804
0,1,2,5,8,0.293659,2,0.23804
0,3,8,12,12,0.60076,2,0.8414
0,4,5,6,12,0.357983,2,0.49552
0,1,7,8,10,0.327138,2,0.40072
0,2,10,11,12,0.363794,2,0.52252
0,0,6,12,12,0.700079,2,0.86116
0,0,1,5,10,0.442251,3,0.40092
1,2,3,7,7,0.544443,2,0.59752
1,3,3,6,12,0.500861,3,0.54084
0,3,4,7,12,0.346783,2,0.4514
1,2,6,9,11,0.324582,2,0.44228
1,1,3,5,10,0.468881,3,0.42192
0,2,6,7,7,0.545327,3,0.75828
0,1,5,9,11,0.317093,2,0.421
1,3,6,8,9,0.523498,4,0.58512
0,4,4,8,10,0.491851,2,0.41608
0,2,5,6,7,0.315508,2,0.26616
1,4,10,11,12,0.36298,2,0.51508
0,5,9,10,11,0.35442,2,0.4596
0,3,6,10,11,0.326154,2,0.43936
0,2,5,10,12,0.368392,3,0.53716
0,1,2,5,6,0.312924,3,0.22208
1,1,5,7,11,0.44622,2,0.45196
0,3,5,8,10,0.308831,2,0.3502
0,1,3,4,9,0.375735,2,0.36552
0,4,5,6,12,0.357983,2,0.4756
0,1,7,10,10,0.571778,2,0.82916
0,0,2,6,7,0.440982,3,0.27052
0,2,6,9,11,0.346175,3,0.44896
0,0,8,9,11,0.4713,3,0.5282
1,5,9,10,12,0.384406,3,0.54348
1,3,5,6,12,0.358147,2,0.4596
0,5,6,9,11,0.360984,3,0.45276
0,1,4,11,12,0.362103,3,0.387
0,5,7,9,10,0.362383,3,0.4352
0,2,4,8,11,0.324466,2,0.3978
0,2,3,5,9,0.315375,2,0.2874
0,5,9,11,12,0.382704,3,0.56032
0,5,7,8,9,0.412239,2,0.45904
0,1,10,11,12,0.3861,3,0.54416
0,0,5,11,12,0.433538,2,0.59628
1,1,3,4,9,0.4723,3,0.35932
0,2,4,10,11,0.328233,2,0.40012
1,2,4,7,9,0.316353,2,0.26708
0,1,4,5,9,0.296408,2,0.28172
1,7,9,9,10,0.569487,2,0.79732
