,class_id,day_week,time_day,Building,num_students,Friends
3752,121463,W,13.3,Cupples I,112,0
3758,121469,W,14.3,Cupples I,61,0
3764,121475,W,15.3,Cupples I,69,0
3770,121481,W,16.3,Cupples I,22,0
3776,121487,W,17.3,Cupples I,14,0
3782,121493,W,18.3,Cupples I,0,0
3788,121499,W,19.3,Cupples I,0,0
3795,121506,H,7.3,Cupples I,0,0
3801,121512,H,8.3,Cupples I,0,0
3807,121518,H,9.3,Cupples I,0,0
3813,121524,H,10.3,Cupples I,55,0
3819,121530,H,11.3,Cupples I,36,0
3825,121536,H,12.3,Cupples I,36,0
3831,121542,H,13.3,Cupples I,26,0
3837,121548,H,14.3,Cupples I,37,0
3843,121554,H,15.3,Cupples I,37,0
3849,121560,H,16.3,Cupples I,56,0
3855,121566,H,17.3,Cupples I,10,0
3861,121572,H,18.3,Cupples I,10,0
3867,121578,H,19.3,Cupples I,0,0
3874,121585,F,7.3,Cupples I,0,0
